URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/ask,null,active,,Ask,Arzneimittel-Stoffkatalog,"Arzneimittel-Stoffkatalog (ASK) Platzhalter-CodeSystem","ConceptMap/CM-Senologie-Medikation-SCT-ASK"
http://fhir.de/CodeSystem/bfarm/atc,null,active,,Atc,ATC,"ATC Platzhalter-CodeSystem","ConceptMap/cm-oncobox-endokrine-substanz-atc,ConceptMap/CM-Senologie-Medikation-SCT-ATC"
http://fhir.de/CodeSystem/bfarm/icd-10-gm,null,active,,ICD10GM,ICD-10-GM,"ICD-10-GM Platzhalter-CodeSystem","ValueSet/vs-senologie-icd10"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ConceptMap/CM-Senologie-Medikation-SCT-ASK,ConceptMap/cm-sct-to-obds-intention,ValueSet/vs-senologie-systemtherapie-medikation,ConceptMap/cm-sct-to-icdo3-mamma-topographie,ValueSet/vs-senologie-vitalstatus,ValueSet/vs-senologie-diagnose-lokal,ConceptMap/cm-sct-to-obds-seitenlokalisation,ValueSet/vs-senologie-diagnose,ConceptMap/cm-sct-to-obds-therapieart,ConceptMap/cm-sct-to-obds-verlauf-gesamtbeurteilung,ValueSet/null,ConceptMap/cm-sct-to-obds-therapiestellung,ConceptMap/cm-sct-to-obds-residualstatus,ValueSet/vs-senologie-diagnose-sct,ValueSet/vs-senologie-screeningstatus,ConceptMap/CM-Senologie-Medikation-SCT-ATC,ValueSet/vs-senologie-zweittumor,ConceptMap/cm-sct-to-obds-grading,ValueSet/vs-senologie-operation-art,ConceptMap/cm-sct-to-obds-fm-lokalisation,ValueSet/vs-senologie-diagnose-b3"
http://terminology.hl7.org/CodeSystem/icd-o-3,2.0.1,active,"2.16.840.1.113883.6.43.1",IcdO3,International Classification of Diseases for Oncology, version 3.,"International Classification of Diseases for Oncology, version 3. For more information see http://www.who.int/classifications/icd/adaptations/oncology/en/.","ConceptMap/cm-sct-to-icdo3-mamma-topographie"
http://terminology.hl7.org/CodeSystem/risk-probability,1.0.1,active,"2.16.840.1.113883.4.642.1.1133",RiskProbability,Risk Probability,"Codes representing the likelihood of a particular outcome in a risk assessment.","ValueSet/vs-senologie-risikoklasse"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/CodeSystem/mii-cs-onko-fernmetastasen,2026.0.3,active,,MII_CS_Onko_Fernmetastasen,MII CS Onkologie Fernmetastasen,"oBDS-spezifisches Codesystem für Fernmetastasen, basierend auf Spezifikation durch TNM-Klassifikation","ConceptMap/cm-sct-to-obds-fm-lokalisation"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/CodeSystem/mii-cs-onko-grading,2026.0.3,active,,MII_CS_Onko_Grading,MII CS Onkologie Grading,"Codes für Histologie Grading. Gibt den Differenzierungsgrad des Tumors entsprechend der aktuellen TNM-Auflage an.","ConceptMap/cm-sct-to-obds-grading"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/CodeSystem/mii-cs-onko-intention,2026.0.3,active,,MII_CS_Onko_Intention,MII CS Onkologie Intention,"oBDS-spezifisches Codesystem für Klassifikation von Intention der OP, der Strahlentherapie und der Systemischen Therapie.","ConceptMap/cm-sct-to-obds-intention"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/CodeSystem/mii-cs-onko-seitenlokalisation,2026.0.3,active,,MII_CS_Onko_Seitenlokalisation,MII CS Onkologie Primärtumor Seitenlokalisation,"Codes für Seitenlokalisation, d.h. organspezifische Angabe der betroffenen Seite.","ConceptMap/cm-sct-to-obds-seitenlokalisation"
